assetid,assetname
TKMB200405J1,P20(二手机/全网通4G/6GB+64GB/颜色随机)
TKMB2005010Y,16T(二手机/全网通4G/6GB+128GB/颜色随机)
TKMB2004062Y,畅享7S (二手机/FIG TL00/移动4G*版 3GB*32GB）
TKMB2004062T,Y7s (全网通4G/6GB+128GB/颜色随机)
TKMB2004062A,Mate30 RS(保时捷版/全网通5G/12GB+512GB/颜色随机)
TKMB2004062J,G9青春版(二手机/全网通4G指纹解锁/3GB+16GB/颜色随机)
TKMB200500NY,x20 plus(二手机/全网通/4GB+64GB/颜色随机)
TKMB200500NJ,红魔Mars（二手机/全网通4G手机/6GB+64GB/颜色随机）
TKMB20050114,Galaxy On7（二手机/全网通/3G+32G/颜色随机）
TKMB2005011F,荣耀8X Max (移动联通电信4G/74GB+64GB/双卡双待/颜色随机)
TKMB200500X8,荣耀Play3e 5.71英寸珍珠全面屏 3020mAh长续航1300万大光圈相机 2GB+32GB 幻夜黑 移动联通电信4G(100004793523)
TKMB2004062E,坚果Pro3 (全网通4G 8GB+128GB 手机/颜色随机)
TKMB200500XA,荣耀平板5 8英寸 平板电脑 3G+32G WiFi版 杜比全景声 全高清屏 麒麟710芯片  苍穹灰(100002244263)
TKMB200500X9,荣耀平板5 8英寸 平板电脑 3G+32G WiFi版 杜比全景声 全高清屏 麒麟710芯片  苍穹灰(100002244263)
TKMB200405WJ,小米平板4plus(10英寸/4G+64G/TLE版/二手)
TKMB20050116,小米8 透明探索版（二手机/移动联通电信4G/8GB+128GB/颜色随机）
TKMB200405XA,R15（移动联通电信4G/6+128G/颜色随机）
TKMB20050110,M7(二手机/全网通4G/6G+64G/颜色随机)
TKMB200405NL,畅享8(二手机/LDN TL00/全网通/4GB*64GB ）
TKMB200405M0,畅享7(二手机/移动全网通定制版/3GB+32GB/颜色随机)
TKMB20040625,Y83 (二手机/全网通4G手机/4GB+64GB/颜色随机）
TKMB200405J3,Y71A（二手机/全网通4G/4GB+64GB/颜色随机）
TKMB200405XN,Z1i（二手机/全网通4G/4GB+128GB/颜色随机）
TKMB200405JA,R15（移动联通电信4G/6+128G/颜色随机）
TKMB2004060A,A7X(二手机/PBBM00/4GB+128GB/颜色随机)
TKMB200405NN,NEX（全网通4G/双屏版 AI双摄/10GB+128GB/颜色）
TKMB2004006R,荣耀8X（移动联通电信4G手机/6GB+64GB/颜色随机）
TKMB200405XL,U3x  (全网通4G/4GB+64GB/颜色随机)
TKMB200405J5,R7s(二手机/TD-LTE/FDD-LTE/4GB+32GB/颜色随机)
TKMB19120700,荣耀畅玩7A(全网通4G/3GB+32GB/颜色随机)
TKMB2004060F,畅享9 Plus（全网通4G/4GB+128GB/颜色随机）
TKMB2004060T,荣耀20i（全网通/6GB+64GB/颜色随机）
TKMB2004060J,A37(二手机/2GB+16GB/颜色随机）
TKMB200405J9,nova 6(全网通5G /8GB+128GB/颜色随机)
TKMB200405J8,mate20 Pro（全网通4G/8G*128/颜色随机）
TKMB2004060E,K5(全网通4G手机/双卡双待/6G+128G/颜色随机)
TKMB200500LM,R11s plus (二手机/移动联通电信4G/6G+64G/双卡双待手机/颜色随机)
TKMB200405F1,Y97 （全网通4G手机/4GB+128GB/ 双卡双待/颜色随机）
TKMB200405EM,NOVA(二手机/全网通/4GB+64GB/颜色随机)
TKMB200405F0,V30 PRO(双模5G全网通/8GB+128GB/颜色随机)
TKMB200405EN,荣耀畅玩6X(二手机/全网通4G/4GB+32GB/颜色随机)
TKMB200500XP,荣耀20S 李现同款 3200万人像超级夜景 4800万超广角AI三摄 麒麟810旗舰级芯片 全网通版6GB+128GB 蝶羽白(100007926790)
TKMB20040623,Y81s(二手机/3GB+64GB/颜色随机)
TKMB200200YL,X23（全网通4G手机/ 6GB+128GB/颜色随机）
TKMB191206MR,荣耀畅玩8A 6.09英寸珍珠全面屏 震撼大音量 3GB+32GB/移动联通电信4G全面屏手机/双卡双待/颜色随机
TKMB20040601,OPPO R11ST（二手机/R11ST/移动定制/4GB*64GB）
TKMB1912073T,S1Pro（全网通4G/8GB+128GB/3200万像素/颜色随机）
TKMB200405J0,Reno 3(全网通5G/8GB+128GB/颜色随机)
TKMB200405L6,P9(二手机/全网通/高配版/4GB+64GB/EVA-AL10/颜色随机)
TKMB200405NM,Redmi8A(全网通4G手机/双卡双待/4G+64G/颜色随机)
TKMB200405F2,Mate 8(二手机/移动版 NXT-TL00/3GB+32GB/颜色随机)
TKMB200405NJ,A7（二手机/全网通4G/4GB+64GB/颜色随机）
TKMB20040604,R11S(二手机/全网通4G/6GB+128GB/颜色随机)
TKMB200405EL,9X PRO(全网通4G/8GB+128GB/颜色随机)
TKMB2004002J,A3(二手机/全网通4G/4GB+128GB/颜色随机)
TKMB20040606,畅享9（二手机/全网通4G/3GB+32GB/颜色随机）
TKMB2003031T,荣耀20（全网通4G/8GB+128GB/颜色不限）
TKMB200405JR,iQOO Neo 855版(二手机/全网通4G/6GB+64GB/颜色随机)
TKMB20040600,8 SE（二手机/全网通4G/6G+64GB/颜色随机）
TKMB200405JX,R9s（二手机/全网通4G/4GB+64GB/颜色随机）
TKMB200405JJ,R9st（二手机/移动定制全网通/4G*64G/颜色随机）
TKMB200405N2,OPPO A5(二手机/M A5/全网通/4GB*64GB）
TKMB200405NY,Redmi Note 8（全网通4G/6GB+128GB/颜色随机）
TKMB200405XG,U3(全网通4G/4GB+64GB/颜色随机)
TKMB191206N8,小米9 SE（全网通4G手机/6GB+64GB/颜色随机）
TKMB200405JM,Reno 3(全网通5G/8GB+128GB/颜色随机)
TKMB1912073G,S1Pro（全网通4G/8GB+128GB/3200万像素/颜色随机）
TKMB200405N1,畅享9（二手机/全网通4G/3GB+32GB/颜色随机）
TKMB200405N0,8（二手机/屏幕指纹版/全网通4G/8GB+128GB/颜色随机）
TKMB200405M3,畅享9 Plus（全网通4G/4GB+128GB/颜色随机）
TKMB200405JN,Y71A（二手机/全网通4G/4GB+64GB/颜色随机）
TKMB2005011T,OnePlus 7 Pro(全网通/8GB+256GB/颜色随机)
TKMB2004008J,OPPO R11ST（二手机/R11ST/移动定制/4GB*64GB）
TKMB2004056G,Reno（全网通4G/10倍变焦版/6G+128G/颜色随机）
TKMB200405RJ,OnePlus 5（二手机/6G+64G）
TKMB200405XE,X21(全网通4G手机/双卡双待/屏幕指纹版/6G+128G/颜色随机)
TKMB200405E0,荣耀畅玩6X(二手机/全网通4G/4GB+32GB/颜色随机)
TKMB200405JW,P20(二手机/全网通4G/6GB+64GB/颜色随机)
TKMB200405MG,畅享9（二手机/全网通4G/3GB+32GB/颜色随机）
TKMB2005011G,游戏手机2(全网通4G/8GB+256GB/双卡双待/颜色随机)
TKMB2005011W,畅享MAX (移动联通电信全网通4G/4GB+128GB/颜色随机)
TKMB200405MN,一加6（全网通4G/双卡双待/8GB+256GB/颜色随机）
TKMB2005009L,Mate20（全网通4g/6*64/颜色随机）
TKMB20040607,荣耀 play（二手机/全网通4G/6G+64G/颜色随机）
TKMB200405Y1,iQOO Neo 855版(二手机/全网通4G/6GB+64GB/颜色随机)
TKMB200500MW,红米6A(二手机/全网通4G/2GB+16GB/颜色随机)
TKMB200200YR,X23（全网通4G手机/ 6GB+128GB/颜色随机）
TKMB200405E2,NOVA(二手机/全网通/4GB+64GB/颜色随机)
TKMB200405JE,nova 6(全网通5G /8GB+128GB/颜色随机)
TKMB200405ML,Find X（二手机/全网通4G/8GB+128GB/颜色随机）
TKMB2005010M,荣耀8X Max (移动联通电信4G/74GB+64GB/双卡双待/颜色随机)
TKMB1912070E,5S PLUS(二手机/全网通/4GB+64GB/颜色随机)
TKMB200405XM,NEX(全网通4G/6GB+128GB/颜色随机)
TKMB200405JP,mate20 Pro（全网通4G/8G*128/颜色随机）
TKMB191207F9,nova 3（全网通4G/6GB+128GB/颜色随机）
TKMB200405XW,R15（移动联通电信4G/梦境版/6+128G/颜色随机）
TKMB200405XP,R9st（二手机/移动定制全网通/4G*64G/颜色随机）
TKMB200405N4,畅享8(二手机/LDN TL00/全网通/4GB*64GB ）
TKMB200405MF,A7X(二手机/PBBM00/4GB+128GB/颜色随机)
TKMB200405N9,麦芒 8（全网通4G/6GB+128GB/颜色不限）
TKMB191206NA,P20 Pro(二手机/全网通4G/6GB+256GB/颜色随机)
TKMB200405RM,X9s plus L(二手机/移动定制版全网通4G/4GB+64GB/颜色随机)
TKMB200405RY,V30 PRO(双模5G全网通/8GB+128GB/颜色随机)
TKMB200405WM,小米平板4(8.0英寸/4G+64G/TLE版/颜色随机)
TKMB200500GL,X20 （4GB+64GB 全网通4G手机 双卡双待 颜色随机）
TKMB200405RL,Z5x（全网通4G/6GB+64GB/颜色随机）
TKMB20030321,荣耀20（全网通4G/8GB+128GB/颜色不限）
TKMB200405NA,荣耀Play3 (全网通4G/4GB+64GB/颜色随机)
TKMB200405LN,K5(全网通4G手机/双卡双待/6G+128G/颜色随机)
TKMB191206NR,荣耀畅玩7A(全网通4G/3GB+32GB/颜色随机)
TKMB200405NP,A7（二手机/全网通4G/4GB+64GB/颜色随机）
TKMB20040065,R15（移动联通电信4G/6+128G/颜色随机）
TKMB200405M4,A57T(二手机/A57T/移动定制版/3GB*32GB）
TKMB191207WE,畅享7 Plus（二手机/TRT TL10A/全网通/3GB*32GB）
TKMB200405Y0,U3x  (全网通4G/4GB+64GB/颜色随机)
TKMB200405E8,魅蓝5 note(二手机/3GB+32GB全网通/颜色随机)
TKMB200405N3,荣耀10 (二手机/全网通4G/6G+64GB/颜色随机）
TKMB200405MX,荣耀Magic2 （二手机/全网通4G/6GB+128GB/颜色随机）
TKMB200405JL,Z1i（二手机/全网通4G/4GB+128GB/颜色随机）
TKMB200500X7,荣耀20S 李现同款 3200万人像超级夜景 4800万超广角AI三摄 麒麟810旗舰级芯片 全网通版6GB+128GB 蝶羽白(100007926790)
TKMB200405J2,R11S (二手机/全网通4G/4GB+64GB/颜色随机)
TKMB200302T3,A3(二手机/全网通4G/4GB+128GB/颜色随机)
TKMB20030335,Y93（全网通4G/4G+64G/颜色随机）
TKMB200405M1,A37M (二手机/A37F/全网通4G/2GB*16GB）
TKMB200405RR,HUAWEI nova 5i Pro（全网通／6GB+128GB／双卡双待／颜色随机)
TKMB2004060X,畅享7(二手机/移动全网通定制版/3GB+32GB/颜色随机)
TKMB200405JG,U3(全网通4G/4GB+64GB/颜色随机)
TKMB200405MM,Redmi8A(全网通4G手机/双卡双待/4G+64G/颜色随机)
TKMB200405RE,S7 edge（全网通移动联通电信4G/4GB RAM/64G/颜色随机）
TKMB191206ME,荣耀畅玩8A 6.09英寸珍珠全面屏 震撼大音量 3GB+32GB/移动联通电信4G全面屏手机/双卡双待/颜色随机
TKMB200405E1,Y97 （全网通4G手机/4GB+128GB/ 双卡双待/颜色随机）
TKMB200405RW,Mate 8(二手机/移动版 NXT-TL00/3GB+32GB/颜色随机)
TKMB200500YP,Redmi K20 Pro（全网通4G/尊享版/12GB+256GB/颜色随机）
TKMB191201F8,Y97 （全网通4G手机/4GB+128GB/ 双卡双待/颜色随机）
TKMB191201PW,荣耀8青春版 全网通4G 移动联通电信4G 双卡双待 智能手机 幻海蓝 高配版(4GBRAM+32GBROM)(12964445472)
TKMB200101P4,Y83 (移动联通电信4G手机/4GB+64GB/颜色随机）
TKMB200200AR,小米Mix3 8GB+128GB黑色 骁龙845全网通4G 双卡双待 全面屏拍照游戏智能手机(7652009)
TKMB191203AG,小米Max3 全网通版 4GB内存 黑色 64GB  移动联通电信4G手机 双卡双待(7651951)
TKMB191201A6,小米 红米Redmi Note7Pro AI双摄 6GB+128GB 梦幻蓝 全网通4G 双卡双待 水滴屏拍照游戏手机(7437710)
TKMB191201A1,小米 红米6  全网通版 3GB内存 铂银灰 32GB 移动联通电信4G手机 双卡双待(7651927)
TKMB191201AA,华为畅享平板电脑10.1英寸高清大屏 3GB+32GB WiFi版（香槟金)(100000763668)
TKMB191201A4,华为平板 M6 8.4英寸麒麟980影音娱乐平板电脑4GB+128GB 全网通（香槟金)(100003753167)
TKMB191201A5,华为平板 M6 10.8英寸麒麟980影音娱乐平板电脑4GB+64GB 全网通（香槟金)(100006320150)
TKMB191201A7,华为平板 M6 10.8英寸麒麟980影音娱乐平板电脑4GB+128GB WiFi（香槟金)(100006320180)
TKMB191201A9,华为 HUAWEI 畅享MAX 4GB+64GB 幻夜黑 全网通版 珍珠屏杜比全景声大电池 移动联通电信4G手机 双卡双待(100000745034)
TKMB200302LE,华为 HUAWEI 畅享9 Plus 4GB+64GB 幻夜黑 全网通 四摄超清全面屏大电池 移动联通电信4G手机 双卡双待(100000766433)
TKMB200301RE,小米9（全网通4G手机/8GB+128GB/颜色随机）
TKMB200302M7,小米9 Pro(全网通5G手机/8G+128G/颜色随机)
TKMB191201RY,X21i（移动联通电信4G/6G+128G/颜色随机）
TKMB200500WE,X20 （4GB+64GB 全网通4G手机 双卡双待 颜色随机）
TKMB200303RL,IQOO Pro(全网通5G手机/双卡双待/8G+128G/颜色随机)
TKMB1912053L,IQOO Pro(全网通4G手机/双卡双待/8G+128G/颜色随机)
TKMB191201P3,中兴ZTE Blade V10 4GB+64GB 夜空黑 准旗舰CPU 3200万AI自拍 高清水滴屏 超强续航 双卡双待全网通4G手机(100003837716)
TKMB191201AM,中兴ZTE Blade A7S 水滴全面屏 4GB+64GB星夜黑 1600万高清三摄 全网通4G手机 双卡双待(100005134267)
TKMB2003003E,Redmi8A(全网通4G手机/双卡双待/4G+64G/颜色随机)
TKMB191201Y6,华nova 3e（全网通/4GB +64GB/双卡双待/颜色随机）
TKMB19120245,游戏手机 8GB+128GB 骁龙845 液冷散热 全面屏 全网通4G双卡双待
TKMB19120564,Reno2(全网通4G手机/双卡双待/8G+128G/颜色随机)
TKMB1912068N,Reno Z（全网通4G/8GB+128GB/颜色不限）
TKMB200405YA,Reno ACE(全网通4G手机/双卡双待/8G+128G/颜色随机)
TKMB200200JR,R9s （全网通/双卡双待/RAM 4GB/ROM 64G/颜色随机）4
TKMB191201ET,A9x 4800万像素 VOOC闪充 6GB+128GB 曜石黑 全网通4G 全面屏拍照游戏智能手机(100003440803)
TKMB1912071Y,A9x 4800万像素 VOOC闪充 6GB+128GB 曜石黑 全网通4G 全面屏拍照游戏智能手机(100003440803)
TKMB20030154,荣耀V10（BKL-AL20/6+128G/全网通/颜色随机）
TKMB20040096,荣耀20（全网通4G/8GB+128GB/颜色不限）
TKMB200302XR,Find X（全网通4G/8GB+128GB/颜色随机）
TKMB1911017A,A79 （4GB+64GB 全网通4G 双卡双待/颜色随机）
TKMB1912074J,畅享 9e（全网通高配版/3GB+64GB/颜色随机）
TKMB191203PA,畅享 10S (全网通4G/6GB+64GB/颜色随机)
TKMB191201R8,荣耀Play3 (全网通4G/4GB+64GB/颜色随机)
TKMB191201RW,A3（ 移动联通电信4G/4GB+128GB/颜色随机）
TKMB2003013Y,Reno2 Z(全网通4G 8G+128G 4800万夜拍四摄手机/颜色随机)
TKMB1912072F,mate 10 pro（移动联通电信4G/6GB+128GB/颜色随机）
TKMB200302M4,P30 Pro（全网通4G手机/8G+128G/亮黑色）
TKMB2004025N,Mate 30(全网通5G/8GB/256GB/颜色随机)
TKMB200405WT,P30(全网通4G/8GB+64GB/颜色随机)
TKMB20040035,iQOO(全网通4G手机/6GB+128GB/颜色随机)
TKMB191206AG,iQOO Neo 855版(全网通4G/6GB+64GB/颜色随机)
TKMB200404E2,荣耀30S 6400万全焦段四摄 5G双模 麒麟820 全网通版8GB+128GB 蝶羽翠(100006604003)
TKMB200404E1,OnePlus 8 5G旗舰 90Hz高清柔性屏 骁龙865 180g轻薄手感 8GB+128GB 青空 超清超广角拍照游戏手机(100012223322)
TKMB200404RM,荣耀30S 6400万全焦段四摄 5G双模 麒麟820 全网通版8GB+128GB 蝶羽翠(100006604003)
TKMB20040532,8 Pro（全网通5G/8GB+128GB/颜色随机）
TKMB2004052N,8 Pro（全网通5G/8GB+128GB/颜色随机）
TKMB2004052L,8 Pro（全网通5G/8GB+128GB/颜色随机）
TKMB20040546,荣耀30 Pro（全网通5G/8GB+128GB/颜色随机）
TKMB20040547,荣耀30 Pro（全网通5G/8GB+128GB/颜色随机）
TKMB20040548,荣耀30 Pro（全网通5G/8GB+128GB/颜色随机）
TKMB20040469,NEX 3S 5G 8GB+256GB 深空流光 骁龙865 无界瀑布屏 6400万超高像素 双模5G全网通手机(100006357623)
TKMB20040468,NEX 3S 5G 8GB+256GB 深空流光 骁龙865 无界瀑布屏 6400万超高像素 双模5G全网通手机(100006357623)
TKMB20040467,NEX 3S 5G 8GB+256GB 深空流光 骁龙865 无界瀑布屏 6400万超高像素 双模5G全网通手机(100006357623)
TKMB20040538,荣耀30（全网通5G/6GB+128GB/颜色随机）
TKMB20040537,荣耀30（全网通5G/6GB+128GB/颜色随机）
TKMB20040534,荣耀30（全网通5G/6GB+128GB/颜色随机）
TKMB200404RL,OnePlus 8 5G旗舰 90Hz高清柔性屏 骁龙865 180g轻薄手感 8GB+128GB 青空 超清超广角拍照游戏手机(100012223322)
TKMB200404E0,OnePlus 8 5G旗舰 90Hz高清柔性屏 骁龙865 180g轻薄手感 8GB+128GB 青空 超清超广角拍照游戏手机(100012223322)
TKMB200404RN,荣耀30S 6400万全焦段四摄 5G双模 麒麟820 全网通版8GB+128GB 蝶羽翠(100006604003)
TKMB200400AN,一加6（全网通4G/8GB+128GB/颜色随机）
TKMB200401E1,7T Pro（二手机/全网通4G/8GB+256GB/颜色随机）
TKMB200400AY,oneplus 7T(全网通4G手机/双卡双待/8G+256G/颜色随机)
TKMB200400P2,Galaxy Note10+(全网通5G/12GB+256GB/SM-N9760/颜色不限)
TKMB20040101,Redmi K20Pro（全网通4G/6GB+64GB/颜色随机）
TKMB2004004G,Redmi K20Pro（全网通4G/6GB+64GB/颜色随机）
TKMB200400P5,galaxy s9+(全网通4G/128G/颜色随机)
TKMB200400N4,galaxy s9+(全网通4G/128G/颜色随机)
TKMB200401E8,Pixel 3A（移动联通4G/4GB+64GB/颜色不限）
TKMB200400P0,oneplus 7T(全网通4G手机/双卡双待/8G+256G/颜色随机)
TKMB200400P3,Galaxy Note10+(全网通5G/12GB+256GB/SM-N9760/颜色不限)
TKMB2004004R,V30 (双模5G全网通/6GB+128GB/颜色随机)
TKMB2004004E,V30 (双模5G全网通/6GB+128GB/颜色随机)
TKMB200401E7,Pixel 3A（移动联通4G/4GB+64GB/颜色不限）
TKMB200400P1,一加6（全网通4G/8GB+128GB/颜色随机）
TKMB200400AM,V30 PRO(双模5G全网通/8GB+128GB/颜色随机)
TKMB200400AL,V30 PRO(双模5G全网通/8GB+128GB/颜色随机)
TKMB2004005N,Pixel 2 XL(美版/4GB+64GB/颜色随机)
TKMB200401E0,7T Pro（二手机/全网通4G/8GB+256GB/颜色随机）
TKMB2004005G,Pixel 2 XL(美版/4GB+64GB/颜色随机)
TKMB19120198,魅族 16th 全面屏手机 6GB+64GB 远山白 全网通移动联通电信4G手机  双卡双待(8441392)
TKMB1912026G,M5 Pro（10.8英寸/哈曼卡顿音效/4G内存/64G存储/通话版/颜色随机）
TKMB191201W4,华为 HUAWEI Mate 20 Pro (UD)屏内指纹版麒麟980芯片全面屏超大广角徕卡三摄8GB+128GB亮黑色全网通双4G手机(100000822969)
TKMB2004002W,小米9 SE（全网通4G手机/6GB+64GB/颜色随机）
TKMB20030283,Y66 （3GB+32GB 全网通4G 颜色随机）
TKMB200200AP,小米8（全网通4G手机/8GB+128GB/颜色随机）
TKMB200200JY,A37M （2GB+16GB全网通4G手机 双卡双待/颜色随机）
TKMB2002001L,Xperia5(J9210/全网通4G/6GB+128GB/颜色随机)
TKMB2001005E,R9SK(4GB+64GB 全网4GJDI屏幕/颜色随机)
TKMB1912074F,华为畅享9 3GB+32GB/高清珍珠屏 AI长续航 全网通标配版 移动联通电信4G手机/颜色随机
TKMB191202A4,R17 Pro 全面屏拍照手机 8GB+128GB 凝光绿 全网通移动联通电信4G手机 双卡双待(100001054331)
TKMB19120238,中兴 ZTE Blade 20 Smart孝心版 松石绿 4GB+128GB全网通 高清三摄 4G双卡双待中兴新品老人机智能手机(100009248888)
TKMB191201FE,HUAWEI nova 5i Pro（全网通／6GB+128GB／双卡双待／颜色随机)
TKMB1912024F,荣耀8青春版(全网通4G/双卡双待/4G+32G/颜色随机）
TKMB19120234,X8（全网通4G/4GB+64GB/颜色随机）
TKMB1912024T,小米8 透明探索版（移动联通电信4G/8GB+128GB/颜色随机）
TKMB191201XP,小米8 SE（移动联通电信4G/4GB+64GB/颜色随机）
TKMB191201GM,R11S（4GB+64GB 全网通4G 双卡双待/颜色随机）
TKMB191201JN,A77(移动联通电信4G/RAM 4G+ROM 64G/颜色随机)
TKMB191101Y8,荣耀8（4GB+64GB全网通版/颜色随机）
TKMB191101YL,麦芒5 （全网通4G手机/4GB+64GB/颜色随机）
TKMB19110164,5X（移动联通电信4G/4GB+64GB/颜色随机）
TKMB200200A5,R15（移动联通电信4G/6+128G/颜色随机）
TKMB2005009P,6X（移动联通电信4G/4GB+64GB/颜色随机）
TKMB19120499,畅享 9S（全网通4G/双卡双待/4GB+64GB/颜色随机）
TKMB191201XY,A57（全网通4G/3GB+32GB/颜色随机)）
TKMB191201XL,R9s Plus（移动联通电信4G/双卡双待/6GB+64GB/颜色随机）
TKMB19120755,Z1青春版 新一代全面屏AI双摄手机 4GB+32GB 极光色 移动联通电信全网通4G手机(100001485602)
TKMB2001005T,X9 （全网通/4GB+64GB/移动联通电信4G手机/双卡双待/颜色随机）
TKMB19110163,荣耀9（6G+64G/高配全网通双卡双待/颜色随机）
TKMB2003032A,X7 Plus（移动联通电信4G/RAM 4GB/ROM 64G/颜色随机）
TKMB200302J0,OPPO R11ST（二手机/R11ST/移动定制/4GB*64GB）
TKMB1912006Y,小米8 青春版（全网通4G/6G+64G/颜色随机）
TKMB1911016J,Max2（移动联通电信4G/双卡双待/4G RAM+64G ROM/颜色随机）
TKMB191203P0,X21(全网通4G手机/双卡双待/屏幕指纹版/6G+128G/颜色随机)
TKMB1912023W,X21（全网通4G/3GB+64GB颜色随机）
TKMB1912022M,R11S（6GB+128GB /全网通4G/二手机/颜色随机）
TKMB191204ER,三星(SAMSUNG)T720 4G+64G WIFI版本 鎏砂金
TKMB19110141,R15x（全网通4G/6G+128G/颜色随机）
TKMB19120235,CC 9e（全网通4G/4GB+64GB/颜色不限）
TKMB200400ET,荣耀 畅玩7X 全网通4G智能手机 双卡 铂光金(4G RAM+64G ROM)
TKMB20020055,R11（4GB+64GB 全网通4G 双卡双待/颜色随机）
TKMB191101YN,红米4A（移动联通电信4G/2+16G/颜色随机）
TKMB2003014G,华为 Mate 9 4GB+64GB版 颜色随机 移动联通电信4G手机 双卡双待
TKMB1912072Y,NEX(全网通4G/6GB+128GB/颜色随机)
TKMB191201EN,荣耀 play（全网通4G/4G+64G/标配/颜色随机）
TKMB191201X2,A83 （全网通/RAM 4G+ROM 32G/双卡双待/颜色随机）
TKMB200101PF,X23（全网通4G手机/ 8GB+128GB/颜色随机）
TKMB191201T7,荣耀畅玩7X（4G+128G移动全网通 颜色随机）
TKMB19120494,X21(全网通4G手机/标准版/双卡双待/6G+64G/颜色随机)
TKMB191202N6,小米 Redmi K20Pro 4800万超广角三摄 6GB+64GB 碳纤黑 骁龙855 全网通4G 双卡双待 全面屏拍照游戏智能手机(100005979688)
TKMB1912039N,Meitu 美图T9（MP1718)4GB+64GB 浆果红 自拍美颜 全网通 移动联通电信4G手机(7938189)
TKMB2003003W,小米Play 流光渐变AI双摄 4GB+64GB /全网通4G 双卡双待 小水滴全面屏拍照游戏智能手机/颜色随机
TKMB19120712,nova 5i（全网通4G/8GB+128GB/颜色不限）
TKMB200405E4,Y9s(全网通4G/8GB+128GB/颜色随机)
TKMB2004053G,Y5s 6GB+128GB 晶石蓝 超广角微距AI三摄 5000mAh大电池 移动联通电信全网通4G手机(100011597186)
TKMB2004054A,小米9 Pro(全网通5G手机/12G+256G/颜色随机)
TKMB191206F3,A11x 4800万四摄 5000mAh大电池 8GB+128GB 湖光绿 全网通4G 全面屏拍照游戏智能手机(100008499652)
TKMB20040542,荣耀V30 5G 双模 麒麟990 突破性相机矩阵 游戏手机 6GB+128GB 魅海星蓝 移动联通电信5G 双卡双待(100010131982)
TKMB191206FP,A11x 4800万四摄 5000mAh大电池 8GB+128GB 湖光绿 全网通4G 全面屏拍照游戏智能手机(100008499652)
TKMB20040564,R9SK(4GB+64GB 全网4GJDI屏幕/颜色随机)
TKMB200405R3,M5 Pro（10.8英寸/哈曼卡顿音效/4G内存/64G存储/通话版/颜色随机）
TKMB20040560,真我Q 4800万超广角四摄 高通骁龙712AIE 20W VOOC闪充 4035mAh大电池 全网通4GB+64GB 光钻绿 游戏智能手机(100004605625)
TKMB200405EJ,Y9s(全网通4G/8GB+128GB/颜色随机)
TKMB2004057N,Redmi K30(全网通5G/6GB+128GB/颜色随机)
TKMB200405M7,畅享6S（全网通4G智能老人机/3GB+32GB/颜色随机）
TKMB200405X3,畅享 9e（全网通高配版/3GB+64GB/颜色随机）
TKMB2004054J,Reno2 Z(全网通4G 8G+128G 4800万夜拍四摄手机/颜色随机)
TKMB2004053N,华为 HUAWEI Mate 20 Pro (UD)屏内指纹版麒麟980芯片全面屏超大广角徕卡三摄8GB+128GB极光色全网通双4G手机(100000986010)
TKMB2004053R,华为 HUAWEI 畅享10 Plus 超高清全视屏前置悬浮式镜头4800万超广角AI三摄 4GB+128GB幻夜黑全网通双4G手机(100008046056)
TKMB2004053J,华为 HUAWEI 畅享10 极点全面屏4800万超清夜景4000mAh大电池 6GB+64GB极光蓝全网通双4G手机(100009177388)
TKMB2004057T,mate 10 pro（移动联通电信4G/6GB+64GB/颜色随机）
TKMB200405AP,华为平板 M6 10.8英寸麒麟980影音娱乐平板电脑4GB+128GB WiFi（香槟金)
TKMB200405A5,华为平板 M6 10.8英寸麒麟980影音娱乐平板电脑4GB+128GB WiFi（银钻灰)
TKMB2004056W,V30 (双模5G全网通/6GB+128GB/颜色随机)
TKMB200302ET,nova 5 Pro（全网通4G/8GB+128GB/颜色不限）
TKMB200405E6,9X PRO(全网通4G/8GB+128GB/颜色随机)
TKMB2004054W,Reno Z（全网通4G/6GB+256GB/颜色不限）
TKMB2004056R,Reno(全网通4G/6GB+128GB/颜色不限)
TKMB20040568,荣耀 Play3 (全网通4G/4GB+128GB/颜色随机)
TKMB2004057F,Reno Z（全网通4G/6GB+256GB/颜色不限）
TKMB200405E5,HUAWEI nova５（全网通／8GB+128GB／双卡双待／颜色随机）
TKMB20040567,Reno2 Z(全网通4G 8G+128G 4800万夜拍四摄手机/颜色随机)
TKMB20040552,P30 Pro（全网通4G手机/8G+256G/天空之境）
TKMB200405NF,A79 （4GB+64GB 全网通4G 双卡双待/颜色随机）
TKMB200302JW,R15x（全网通4G/6G+128G/颜色随机）
TKMB2004053A,A11 5000mAh大电池 AI四摄 视频防抖 4GB+128GB 湖光绿 全网通4G 全面屏拍照游戏智能手机(100005158161)
TKMB200405NR,荣耀V10（全网通/4*64/颜色随机）
TKMB200302E4,Redmi Note8Pro 6400万全场景四摄 液冷游戏芯 4500mAh长续航 NFC 18W快充 红外遥控 6GB+64GB 贝母白 游戏智能手机 小米 红米(100007958768)
TKMB20040541,荣耀20青春版 AMOLED屏幕指纹 4000mAh大电池 20W快充 4800万 手机 6GB+64GB 蓝水翡翠(100009219518)
TKMB2004056P,Reno3 Pro（全网通5G/8GB+128GB/颜色随机）
TKMB2004055J,三星 Galaxy Note10 智能S Pen 骁龙855 4G手机 8GB+256GB 密斯白 全网通 双卡双待 游戏手机(100004286349)
TKMB200101WW,A9(全网通4G/4GB+128GB/颜色随机)
