assetid,assetname,location,cloud,dt,batch,epo,remarks
TKMB201001NP,"SAMSUNG SM-G9250 （3GB+64GB/全球版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001NR,"OPPO OPPO R11 （2GB+32GB/东南亚版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001NT,"SAMSUNG SM-N960N （6GB+128GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001NW,"OPPO OPPO R11 （2GB+32GB/东南亚版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001NX,"SAMSUNG SM-N960N （6GB+128GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001NY,"SAMSUNG SM-G928F （3GB+32GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001YG,"SAMSUNG SM-J500H （2GB+16GB/亚版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001YJ,"OPPO OPPO R9KM （2GB+32GB/东南亚版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001YL,"SAMSUNG SM-G885F （3GB+32GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001YM,"SAMSUNG SM-G935T （3GB+64GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001YN,"SAMSUNG SM-G935T （3GB+64GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001YT,"SAMSUNG SM-J500H （2GB+16GB/亚版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001YX,"OPPO OPPO R9KM （2GB+32GB/东南亚版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB201001YY,"SAMSUNG SM-G885F （3GB+32GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB20100200,"REDMI REDMI NOTE 5 （4GB+64GB/印度版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB20100201,"SONY SOV34 （3GB+64GB/日版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB20100202,"SONY SOV34 （3GB+64GB/日版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB20100203,"XIAOMI POCOPHONE F1 （6GB+64GB/印度版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB20100204,"SAMSUNG SM-G930A （4GB+64GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB20100205,"SAMSUNG SM-G930A （4GB+64GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB20100206,"REDMI REDMI NOTE 7 PRO （4GB+64GB/印度版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB20100207,"HUAWEI STK-LX1 （3GB+32GB/欧版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB20100208,"HUAWEI STK-LX1 （3GB+32GB/欧版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB20100209,"REDMI REDMI 7A （3GB+32GB/印度版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB2010020A,"SAMSUNG SM-A705F (3GB+32GB/欧版)自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB2010020E,"SAMSUNG SM-A705FN （6GB+128GB/全球版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB2010020F,"SAMSUNG SM-C710F （4GB+32GB/欧版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB2010020G,"SAMSUNG SM-C710F （4GB+32GB/欧版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB2010020J,"SAMSUNG SM-G925F （3GB+32GB/全球版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB2010020L,"OPPO A1601 （3GB+32GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB2010020M,"REDMI REDMI 4A （4GB+64GB/印度版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB2010020N,"REDMI REDMI 4A （4GB+64GB/印度版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB2010020P,"SAMSUNG SM-A705F (3GB+32GB/欧版)自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB2010020R,"HUAWEI MAR-LX1A （4GB+64GB/欧版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB2010020T,"SAMSUNG SM-J710K （3GB+16GB/欧版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB2010020W,"HUAWEI MAR-LX1A （4GB+64GB/欧版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB2010020X,"SAMSUNG SM-J710K （3GB+16GB/欧版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB2010020Y,"SAMSUNG SM-G925F （3GB+32GB/全球版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB20100210,"OPPO OPPO R9SK （2GB+16GB/东南亚版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB20100211,"OPPO OPPO R9SK （2GB+16GB/东南亚版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB20100212,"SAMSUNG SM-G975F （8GB+128GB/全球版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB20100213,"SAMSUNG SM-G930F （4GB+64GB/全球版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB20100214,"SAMSUNG SM-G930F （4GB+64GB/全球版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB20100215,"SAMSUNG SM-J727T1 （3GB+32GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB20100216,"SAMSUNG SM-J727T1 （3GB+32GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB20100217,"OPPO OPPO R11T （2GB+32GB/欧版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB20100218,"OPPO OPPO R11T （2GB+32GB/欧版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB20100219,"SAMSUNG SM-G973N （4GB+128GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB2010021A,"SAMSUNG SM-G973N （4GB+128GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB2010021E,"HUAWEI BLA-L29 （4GB+64GB/欧版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB2010021F,"SAMSUNG SM-A405FN （4GB+64GB/全球版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB2010021G,"SAMSUNG SM-A405FN （4GB+64GB/全球版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB2010021J,"OPPO OPPO R11S （3GB+32GB/东南亚版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB2010021L,"OPPO CPH1611 （6GB+64GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB2010021M,"OPPO OPPO R9M （3GB+32GB/东南亚版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB2010021N,"OPPO OPPO R9M （3GB+32GB/东南亚版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB2010021P,"OPPO CPH1851 （4GB+64GB/东南亚版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB2010021R,"HUAWEI BLA-L29 （4GB+64GB/欧版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB2010021T,"REDMI REDMI S2 （2GB+32GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB2010021W,"OPPO CPH1851 （4GB+64GB/东南亚版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB2010021X,"OPPO OPPO R11S （3GB+32GB/东南亚版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB2010021Y,"OPPO CPH1611 （6GB+64GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB20100220,"SAMSUNG SM-G610F （3GB+32GB/欧版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB20100221,"SAMSUNG SM-G610F （3GB+32GB/欧版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB20100222,"OPPO OPPO R9S （3GB+32GB/东南亚版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB20100223,"OPPO OPPO R9S （3GB+32GB/东南亚版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB20100224,"SAMSUNG SM-N960U （6GB+128GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB20100225,"SAMSUNG SM-N960U （6GB+128GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB20100226,"SAMSUNG SM-G970N （6GB+128GB/全球版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB20100227,"SAMSUNG SM-T585 （4GB+64GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB20100228,"SAMSUNG SM-T585 （4GB+64GB/美版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB20100229,"HUAWEI TRT-AL00A （2GB+16GB/欧版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB2010022A,"HUAWEI TRT-AL00A （2GB+16GB/欧版）自行采购",b2,teg,"2020-10-27 00:00:00",139,STI202009294119,NULL
TKMB2012030N,"手机 OPPO Reno3 Pro（全网通5G/8GB+128GB/pcrm00/颜色随机） Pcs",c2,ui_top300_cloud,"2021-02-03 00:00:00",82,PR-GO-202012141180,NULL
TKMB20120376,"手机 vivo Y67（二手机/全网通4G/4GB+32GB/颜色随机) Pcs",c2,ui_top300_cloud,"2021-02-03 00:00:00",82,PR-GO-202012141180,NULL
TKMB201203E8,"手机 华为 华为 畅享9(二手机全网通4G3GB+32GBDUB-AL00a颜色随机) Pcs",a6,a6_top300_cloud,"2021-01-18 00:00:00",23,PR-GO-202012041029,NULL
TKMB201203EE,"手机 OPPO A7X(二手机移动全网通4G4GB+128GBPBBT00颜色随机) Pcs",a6,a6_top300_cloud,"2021-01-18 00:00:00",23,PR-GO-202012041029,NULL
TKMB201203RR,"手机 OPPO A7X(二手机/移动全网通4G/4GB+128GB/PBBT00/颜色随机) Pcs",c2,ui_top300_cloud,"2021-02-03 00:00:00",82,PR-GO-202012141180,NULL
TKMB201203RY,"手机 OPPO A9(二手机/移动4G+/6GB+128GB/PCAT10/颜色随机) Pcs",c2,ui_top300_cloud,"2021-02-03 00:00:00",82,PR-GO-202012141180,NULL
TKMB201203X3,"手机 VIVO X6D(二手机/移动联通双4G手机/4G+32G/颜色随机) Pcs",c2,ui_top300_cloud,"2021-02-03 00:00:00",82,PR-GO-202012141180,NULL
TKMB201203XX,"手机 OPPO A91(二手机/全网通4G/8GB+128GB/PCPM00/颜色随机) 台",c2,ui_top300_cloud,"2021-02-03 00:00:00",82,PR-GO-202012141180,NULL
TKMB20120483,"手机 OPPO A52(二手机/全网通4G/8GB+128GB/PDAM10/颜色随机) Pcs",c2,ui_top300_cloud,"2021-02-03 00:00:00",82,PR-GO-202012141180,NULL
TKMB2101021X,"手机 OPPO Reno4 Pro (全网通5G/8+128GB/PDNM00/颜色随机 ) 台",c2,ui_top300_cloud,"2021-02-03 00:00:00",82,PR-GO-202101070742,NULL
TKMB21010225,"手机 OPPO Reno4(全网通双模5G/8GB+128GB/PDPM00/颜色随机 ) 台",c2,ui_top300_cloud,"2021-02-03 00:00:00",82,PR-GO-202101070742,NULL
TKMB2101024Y,"手机 OPPO R15x(二手机/移动4G/6GB+128GB/PBCT10/颜色随机) Pcs",c2,ui_top300_cloud,"2021-02-03 00:00:00",82,PR-GO-202101070742,NULL
TKMB21010251,"手机 OPPO A92s(全网通双模5G/6GB+128GB/PDKM00/颜色随机) 台",c2,ui_top300_cloud,"2021-02-03 00:00:00",82,PR-GO-202101070742,NULL
TKMB2101025E,"手机 VIVO iQOO Z1x (全网通5G/6GB+128GB/V2012A/颜色不限) Pcs",c2,ui_top300_cloud,"2021-02-03 00:00:00",82,PR-GO-202101070742,NULL
TKMB2101029G,"手机 OPPO Reno 3(二手机/全网通5G/8GB+128GB/PCLM50/元气版/颜色随机) Pcs",c2,ui_top300_cloud,"2021-02-03 00:00:00",82,PR-GO-202101070742,NULL
TKMB210102P1,"手机 OPPO R15梦境版(二手机/移动全网通4G/6GB+128GB/PAAT00/颜色随机) Pcs",c2,ui_top300_cloud,"2021-02-03 00:00:00",82,PR-GO-202101070742,NULL
